timePeriod/start/__text,readingQuality/__text,value/__text
1662440400,ACTUAL,0.01
1662442200,ACTUAL,0.1
1662444000,ACTUAL,0.13
1662445800,ACTUAL,0.15
1662447600,ACTUAL,0.01
1662449400,ACTUAL,0.19
1662451200,ACTUAL,0.04
1662453000,ACTUAL,0.14
1662454800,ACTUAL,0.03
1662456600,ACTUAL,0.19
1662458400,ACTUAL,0.1
1662460200,ACTUAL,0.06
1662462000,ACTUAL,0.14
1662463800,ACTUAL,0.08
1662465600,ACTUAL,0.14
1662467400,ACTUAL,0.04
1662469200,ACTUAL,0.2
1662471000,ACTUAL,0.08
1662472800,ACTUAL,0.05
1662474600,ACTUAL,0.05
1662476400,ACTUAL,0.05
1662478200,ACTUAL,0.01
1662480000,ACTUAL,0.02
1662481800,ACTUAL,0.06
1662483600,ACTUAL,0.05
1662485400,ACTUAL,0.04
1662487200,ACTUAL,0.04
1662489000,ACTUAL,0.09
1662490800,ACTUAL,0.02
1662492600,ACTUAL,0.02
1662494400,ACTUAL,0.06
1662496200,ACTUAL,0.26
1662498000,ACTUAL,0.63
1662499800,ACTUAL,0.39
1662501600,ACTUAL,0.43
1662503400,ACTUAL,1.11
1662505200,ACTUAL,0.46
1662507000,ACTUAL,0.25
1662508800,ACTUAL,0.2
1662510600,ACTUAL,1.94
1662512400,ACTUAL,1.16
1662514200,ACTUAL,1.45
1662516000,ACTUAL,1.44
1662517800,ACTUAL,0.66
1662519600,ACTUAL,0.59
1662521400,ACTUAL,0.55
1662523200,ACTUAL,0.58
1662525000,ACTUAL,0.58
1662526800,ACTUAL,0.25
1662528600,ACTUAL,0.28
1662530400,ACTUAL,0.1
1662532200,ACTUAL,0.05
1662534000,ACTUAL,0.08
1662535800,ACTUAL,0.04
1662537600,ACTUAL,0.07
1662539400,ACTUAL,0.05
1662541200,ACTUAL,0.05
1662543000,ACTUAL,0.08
1662544800,ACTUAL,0.04
1662546600,ACTUAL,0.06
1662548400,ACTUAL,0.31
1662550200,ACTUAL,0.7
1662552000,ACTUAL,0.96
1662553800,ACTUAL,0.59
1662555600,ACTUAL,0.54
1662557400,ACTUAL,0.66
1662559200,ACTUAL,0.48
1662561000,ACTUAL,0.14
1662562800,ACTUAL,0.27
1662564600,ACTUAL,0.12
1662566400,ACTUAL,0.25
1662568200,ACTUAL,0.44
1662570000,ACTUAL,0.44
1662571800,ACTUAL,0.12
1662573600,ACTUAL,0.3
1662575400,ACTUAL,0.67
1662577200,ACTUAL,0.68
1662579000,ACTUAL,0.36
1662580800,ACTUAL,0.27
1662582600,ACTUAL,0.17
1662584400,ACTUAL,0.18
1662586200,ACTUAL,0.17
1662588000,ACTUAL,0.02
1662589800,ACTUAL,0.06
1662591600,ACTUAL,0.03
1662593400,ACTUAL,0.06
1662595200,ACTUAL,0.81
1662597000,ACTUAL,0.34
1662598800,ACTUAL,1.3
1662600600,ACTUAL,0.64
1662602400,ACTUAL,0.46
1662604200,ACTUAL,0.34
1662606000,ACTUAL,0.77
1662607800,ACTUAL,0.06
1662609600,ACTUAL,0.07
1662611400,ACTUAL,0.08
1662613200,ACTUAL,0.04
1662615000,ACTUAL,0.08
1662616800,ACTUAL,0.06
1662618600,ACTUAL,0.04
1662620400,ACTUAL,0.08
1662622200,ACTUAL,0.05
1662624000,ACTUAL,0.06
1662625800,ACTUAL,0.08
1662627600,ACTUAL,0.04
1662629400,ACTUAL,0.07
1662631200,ACTUAL,0.08
1662633000,ACTUAL,0.29
1662634800,ACTUAL,0.13
1662636600,ACTUAL,0.1
1662638400,ACTUAL,0.73
1662640200,ACTUAL,0.08
1662642000,ACTUAL,0.03
1662643800,ACTUAL,0.05
1662645600,ACTUAL,0.07
1662647400,ACTUAL,0.02
1662649200,ACTUAL,0.06
1662651000,ACTUAL,0.05
1662652800,ACTUAL,0.03
1662654600,ACTUAL,0.07
1662656400,ACTUAL,0.04
1662658200,ACTUAL,0.04
1662660000,ACTUAL,0.07
1662661800,ACTUAL,0.02
1662663600,ACTUAL,0.06
1662665400,ACTUAL,0.05
1662667200,ACTUAL,0.02
1662669000,ACTUAL,0.07
1662670800,ACTUAL,0.28
1662672600,ACTUAL,1.29
1662674400,ACTUAL,0.2
1662676200,ACTUAL,0.06
1662678000,ACTUAL,0.04
1662679800,ACTUAL,0.1
1662681600,ACTUAL,0.99
1662683400,ACTUAL,0.92
1662685200,ACTUAL,0.16
1662687000,ACTUAL,0.75
1662688800,ACTUAL,0.18
1662690600,ACTUAL,0.42
1662692400,ACTUAL,0.42
1662694200,ACTUAL,0.38
1662696000,ACTUAL,0.08
1662697800,ACTUAL,0.56
1662699600,ACTUAL,0.09
1662701400,ACTUAL,0.1
1662703200,ACTUAL,0.08
1662705000,ACTUAL,0.06
1662706800,ACTUAL,0.09
1662708600,ACTUAL,0.1
1662710400,ACTUAL,0.08
1662712200,ACTUAL,0.05
1662714000,ACTUAL,0.15
1662715800,ACTUAL,0.31
1662717600,ACTUAL,0.52
1662719400,ACTUAL,0.51
1662721200,ACTUAL,1.19
1662723000,ACTUAL,0.73
1662724800,ACTUAL,0.62
1662726600,ACTUAL,0.1
1662728400,ACTUAL,0.09
1662730200,ACTUAL,0.14
1662732000,ACTUAL,0.13
1662733800,ACTUAL,0.1
1662735600,ACTUAL,0.54
1662737400,ACTUAL,0.09
1662739200,ACTUAL,0.07
1662741000,ACTUAL,0.11
1662742800,ACTUAL,0.24
1662744600,ACTUAL,0.25
1662746400,ACTUAL,0.18
1662748200,ACTUAL,0.11
1662750000,ACTUAL,0.12
1662751800,ACTUAL,0.09
1662753600,ACTUAL,0.07
1662755400,ACTUAL,0.05
1662757200,ACTUAL,0.1
1662759000,ACTUAL,0.1
1662760800,ACTUAL,0.05
1662762600,ACTUAL,0.75
1662764400,ACTUAL,0.29
1662766200,ACTUAL,0.08
1662768000,ACTUAL,0.04
1662769800,ACTUAL,0.08
1662771600,ACTUAL,0.08
