datetime,energy_used
2022-09-06,5.92
2022-09-07,19.29
2022-09-08,9.6
2022-09-09,13.39
2022-09-10,20.15
2022-09-11,14.54
2022-09-12,12.22
2022-09-13,10.89
2022-09-14,15.89
2022-09-15,19.64
2022-09-16,12.01
2022-09-17,17.64
2022-09-18,17.05
2022-09-19,17.46
2022-09-20,14.76
2022-09-21,9.26
2022-09-22,21.12
2022-09-23,6.5
2022-09-24,15.02
2022-09-25,14.530000000000001
2022-09-26,15.36
2022-09-27,10.26
2022-09-28,7.52
2022-09-29,18.16
2022-09-30,14.77
2022-10-01,12.38
2022-10-02,11.56
2022-10-03,10.77
2022-10-04,17.9
2022-10-05,10.37
2022-10-06,13.25
2022-10-07,9.92
2022-10-08,11.92
2022-10-09,18.89
2022-10-10,9.66
2022-10-11,13.77
2022-10-12,10.35
2022-10-13,9.870000000000001
2022-10-14,16.13
2022-10-15,8.84
2022-10-16,8.29
2022-10-17,8.9
2022-10-18,15.36
2022-10-19,12.36
2022-10-20,16.23
2022-10-21,17.93
2022-10-22,17.77
2022-10-23,9.27
2022-10-24,9.06
2022-10-25,13.200000000000001
2022-10-26,12.51
2022-10-27,10.46
2022-10-28,14.26
2022-10-29,19.54
2022-10-30,14.290000000000001
2022-10-31,12.09
2022-11-01,17.01
2022-11-02,12.74
2022-11-03,14.47
2022-11-04,11.38
2022-11-05,19.35
2022-11-06,9.61
2022-11-07,14.75
2022-11-08,19.11
2022-11-09,11.46
2022-11-10,13.39
2022-11-11,11.459999999999999
2022-11-12,10.67
2022-11-13,8.84
2022-11-14,17.4
2022-11-15,18.759999999999998
2022-11-16,11.61
2022-11-17,24.78
2022-11-18,27.18
2022-11-19,22.16
2022-11-20,16.03
2022-11-21,34.32
2022-11-22,7.47
2022-11-23,8.52
2022-11-24,8.530000000000001
2022-11-25,5.89
2022-11-26,5.38
2022-11-27,6.22
2022-11-28,3.0
2022-11-29,6.28
2022-11-30,9.91
2022-12-01,20.44
2022-12-02,32.22
2022-12-03,17.63
2022-12-04,18.92
2022-12-05,13.78
2022-12-06,12.64
2022-12-07,9.5
2022-12-08,13.92
2022-12-09,15.48
2022-12-10,17.09
2022-12-11,12.52
2022-12-12,26.67
